alpha,k3p,s_target,qfrac,epsilon,old_bound,paired_bound,old_saturation,paired_saturation,Lambda,Lambda_resp,Lambda_resp_over_Lambda
0.0,1.5,0.02,0.1,1.761571998990789e-08,4.0315719839981625e-08,1.8030715626823952e-08,0.43694420091783037,0.9769839619510897,0.020157859919990813,0.01612803677105529,0.800086756980631
0.0,1.5,0.02,0.4,1.0200000000019229e-08,2.540000000001893e-08,1.0204900783467964e-08,0.40157480315006405,0.9995197617740023,0.012700000000009466,0.00820000000002736,0.6456692913402559
0.0,1.5,0.02,0.8,1.0199999999998419e-08,1.539999999999838e-08,1.0208166665304574e-08,0.6623376623376293,0.9991999870717323,0.00769999999999919,0.013533333333330712,1.757575757575602
0.0,1.5,0.04,0.1,3.5671475145607265e-08,8.087147499282673e-08,3.648226904786569e-08,0.44108846968317705,0.977775672308248,0.04043573749641337,0.032915337700936326,0.8140160100667362
0.0,1.5,0.04,0.4,2.020000000003991e-08,5.0400000000039613e-08,2.0204949888622584e-08,0.4007936507941276,0.9997550160426053,0.025200000000019807,0.016200000000056704,0.6428571428588877
0.0,1.5,0.04,0.8,2.0199999999996872e-08,3.039999999999684e-08,2.0208249140715083e-08,0.6644736842104926,0.9995917933977966,0.01519999999999842,0.02686666666666147,1.7675438596489648
0.0,1.5,0.08,0.1,7.178271805660136e-08,1.619827179024237e-07,7.338356960157506e-08,0.4431504730019553,0.9781851502500454,0.08099135895121183,0.06649040536180106,0.8209567813506382
0.0,1.5,0.08,0.4,4.020000000008132e-08,1.0040000000008104e-07,4.0204974816645534e-08,0.40039840637498875,0.9998762636567513,0.05020000000004052,0.03220000000011547,0.6414342629499896
0.0,1.5,0.08,0.8,4.0199999999993795e-08,6.039999999999375e-08,4.0208291018970046e-08,0.6655629139072509,0.9997937982747802,0.030199999999996875,0.05353333333332299,1.7726269315671699
0.0,2.0,0.02,0.1,2.456120195279891e-08,5.176120177191228e-08,2.4829195823878438e-08,0.47450988601518157,0.9892065021766917,0.025880600885956145,0.023820504322024236,0.920399971661794
0.0,2.0,0.02,0.4,1.020000000019847e-08,2.8400000000197636e-08,1.0211198334826357e-08,0.35915492958195383,0.9989033280658458,0.01420000000009882,0.007342857143129222,0.5171026157097269
0.0,2.0,0.02,0.8,1.0199999999998437e-08,1.639999999999839e-08,1.0204900783445627e-08,0.6219512195121609,0.9995197617741527,0.008199999999999196,0.012699999999997488,1.5487804878047235
0.0,2.0,0.04,0.1,4.9339048467068815e-08,1.0353904828521946e-07,4.9853692672590315e-08,0.47652599945823654,0.9896769090125103,0.051769524142609734,0.04800876025529168,0.9273556411884671
0.0,2.0,0.04,0.4,2.020000000043296e-08,5.640000000043208e-08,2.021131225024788e-08,0.35815602837372706,0.9994403010712587,0.028200000000216042,0.014485714286308175,0.5136778115672765
0.0,2.0,0.04,0.8,2.0199999999996922e-08,3.2399999999996876e-08,2.0204949888576312e-08,0.6234567901234219,0.9997550160427674,0.016199999999998438,0.02519999999999502,1.5555555555553982
0.0,2.0,0.08,0.1,9.889464886012786e-08,2.0709464867780191e-07,9.99024277706074e-08,0.4775335794117416,0.989912368167933,0.10354732433890096,0.09638583264398198,0.9308384669459921
0.0,2.0,0.08,0.4,4.02000000009058e-08,1.124000000009049e-07,4.021137010594335e-08,0.3576512455567808,0.9997172415411961,0.05620000000045245,0.028771428572671464,0.5119471276234846
0.0,2.0,0.08,0.8,4.019999999999388e-08,6.439999999999384e-08,4.020497481655133e-08,0.6242236024844368,0.9998762636569194,0.03219999999999692,0.05019999999999011,1.559006211179966
0.0,3.0,0.02,0.1,3.4782684697815864e-08,7.098268450473633e-08,3.492839003300696e-08,0.49001647289762595,0.9958284554468899,0.03549134225236817,0.03437436718011013,0.9685282381174662
0.0,3.0,0.02,0.4,1.7177334348670806e-08,4.137733421803148e-08,1.7651715970715193e-08,0.41513873895687653,0.9731254670746231,0.020688667109015742,0.015060567946159259,0.7279622155840161
0.0,3.0,0.02,0.8,1.0199999999998773e-08,1.8399999999998706e-08,1.0201089266455699e-08,0.5543478260869288,0.999893220573953,0.009199999999999353,0.01131111111110924,1.2294685990336995
0.0,3.0,0.04,0.1,6.967159370833756e-08,1.4187159351493218e-07,6.995048478000819e-08,0.4910891037606096,0.9960130216030991,0.0709357967574661,0.06897885897705314,0.9724125495184913
0.0,3.0,0.04,0.4,3.451092428707859e-08,8.271092415507819e-08,3.5458490629433515e-08,0.41724747534403805,0.973276743439035,0.041355462077539096,0.030402382044728483,0.7351479228481543
0.0,3.0,0.04,0.8,2.01999999999976e-08,3.639999999999753e-08,2.0201100080053794e-08,0.5549450549450268,0.9999455435569432,0.018199999999998766,0.02242222222221853,1.2319902319901126
0.0,3.0,0.08,0.1,1.394493857592975e-07,2.836493855657301e-07,1.3999464224974436e-07,0.491625904569368,0.9961051617284457,0.14182469278286505,0.13818820597510054,0.974359283024628
0.0,3.0,0.08,0.4,6.917775185578093e-08,1.6537775172311056e-07,7.10715069705126e-08,0.41830144100401234,0.973354228783732,0.08268887586155528,0.06108631965824158,0.7387489432135644
0.0,3.0,0.08,0.8,4.019999999999526e-08,7.23999999999952e-08,4.020110556798801e-08,0.5552486187845017,0.9999724990649602,0.0361999999999976,0.044644444444437124,1.2332719459790078
0.5,1.5,0.02,0.1,2.015787366861973e-08,4.031574733723947e-08,2.0157873668619734e-08,0.49999999999999994,0.9999999999999999,0.020157873668619732,0.020157873668619732,1.0
0.5,1.5,0.02,0.4,1.27000000000384e-08,2.54000000000768e-08,1.27000000000384e-08,0.5,1.0,0.012700000000038401,0.012700000000038401,1.0
0.5,1.5,0.02,0.8,7.700000000001095e-09,1.540000000000219e-08,7.700000000001095e-09,0.5,1.0,0.007700000000001095,0.007700000000001095,1.0
0.5,1.5,0.04,0.1,4.043576454619016e-08,8.087152909238032e-08,4.043576454619016e-08,0.5,1.0,0.04043576454619016,0.04043576454619016,1.0
