alpha,A_chemostat,kw,W_chemostat,epsilon,old_bound,paired_bound,old_saturation,paired_saturation,Lambda,Lambda_resp,Lambda_resp_over_Lambda
0.0,0.02,0.1,1e-05,1.234584855772116e-08,2.9046152060737917e-08,1.261380326692132e-08,0.425042481768496,0.9787570248615776,0.014523076030368958,0.010955532596805722,0.7543534561064607
0.0,0.02,0.1,0.0001,1.2336599955290876e-08,2.9037378596387463e-08,1.260517420677405e-08,0.42485239892920884,0.9786933328268608,0.014518689298193733,0.010943854057327985,0.7537769996007496
0.0,0.02,0.1,0.001,1.2244094321009447e-08,2.894962534980232e-08,1.2518696311187754e-08,0.42294482823395346,0.9780646495967077,0.014474812674901161,0.010826928185639954,0.7479839932169543
0.0,0.02,0.4,1e-05,1.437374692285751e-08,3.096986894074282e-08,1.443885704655888e-08,0.46412036648782645,0.9954906317382728,0.01548493447037141,0.013463446888320128,0.869454560113305
0.0,0.02,0.4,0.0001,1.4372571664452777e-08,3.096875406025499e-08,1.4437834705910649e-08,0.4640991250887423,0.9954797209701289,0.015484377030127497,0.01346202501977451,0.8693940346183668
0.0,0.02,0.4,0.001,1.4360818762353067e-08,3.0957604953661774e-08,1.4427608938946469e-08,0.463886621198531,0.9953706690501497,0.015478802476830889,0.013447803859939536,0.8687883885118756
0.0,0.02,1.0,1e-05,1.4562317641516584e-08,3.1148751996053624e-08,1.4602404627078162e-08,0.4675088633843677,0.9972547681984348,0.015574375998026812,0.013691092402028104,0.8790780705283274
0.0,0.02,1.0,0.0001,1.4561889630015295e-08,3.114834597328721e-08,1.460203450240008e-08,0.46750121635683506,0.9972507343152637,0.015574172986643606,0.013690576815355723,0.8790564241900194
0.0,0.02,1.0,0.001,1.4557609472802416e-08,3.114428570559088e-08,1.459833294795573e-08,0.4674247343611127,0.9972104023590572,0.015572142852795439,0.01368542061769701,0.8788399096428958
0.0,0.05,0.1,1e-05,2.3783445226599182e-08,5.1288422440036096e-08,2.4035308371938618e-08,0.46371957052111745,0.9895211186209082,0.02564421122001805,0.02252734714972357,0.8784574014169158
0.0,0.05,0.1,0.0001,2.378108862340853e-08,5.128624423720893e-08,2.403320105484326e-08,0.46369331537354025,0.9895098272236222,0.025643122118604467,0.0225243537144592,0.8783779763743139
0.0,0.05,0.1,0.001,2.375752128698073e-08,5.126446100315658e-08,2.401212146293346e-08,0.46343062663855716,0.9893970144892968,0.025632230501578295,0.02249441292731692,0.8775831243376121
0.0,0.05,0.4,1e-05,2.547607809482652e-08,5.285291899009436e-08,2.5525098976770075e-08,0.4820183744175269,0.9980795027675243,0.026426459495047183,0.0246544822962765,0.9329468558168837
0.0,0.05,0.4,0.0001,2.5475778259564453e-08,5.285264185308073e-08,2.552483914068014e-08,0.4820152288769553,0.9980779161488429,0.02642632092654036,0.024654109626863263,0.932937645591928
0.0,0.05,0.4,0.001,2.5472779885749316e-08,5.284987046335418e-08,2.552224068463653e-08,0.4819837714344448,0.9980620510754376,0.02642493523167709,0.024650382824161616,0.9328455342668838
0.0,0.05,1.0,1e-05,2.5633578803686355e-08,5.2998496517205446e-08,2.5661396070438394e-08,0.48366615070608016,0.9989159877866471,0.026499248258602726,0.024850035059773182,0.9377637741744563
0.0,0.05,1.0,0.0001,2.5633469595558854e-08,5.29983955763956e-08,2.566130169722273e-08,0.48366501130414363,0.9989154056956164,0.0264991977881978,0.024849899610514616,0.9377604487929915
0.0,0.05,1.0,0.001,2.563237751147126e-08,5.2997386165697464e-08,2.566035795253354e-08,0.4836536170167163,0.9989095849280809,0.026498693082848735,0.0248485451034691,0.937727193781957
