tau_Q,g,dt,nx,nreal,a_hat,xi_hat,block,Lambda_resp,Rmax_block,wrong_in,sem_in,Robs_in,wrong_out,sem_out,Robs_out,eta_in,eta_out,meanN_in,meanN_out,clip_events,seed,steady_init
100.0,0.0,0.01,64,64,0.1,3.1622776601683795,3,0.73,0.0,0.48735119047619047,0.015899290452701432,0.031711177578149424,0.47544642857142855,0.023199192418316503,0.06158558438659509,0.0024951171875,0.019846191406249998,100.482421875,100.975341796875,0,360818,1
100.0,0.005,0.01,64,64,0.1,3.1622776601683795,3,0.73,0.23398717913595182,0.4040178571428571,0.015073105108767318,0.2429608651158366,0.25818452380952384,0.024526356914694864,0.6489525485220761,0.02447021484375,0.12795654296875,100.260498046875,101.118408203125,0,365818,1
100.0,0.01,0.01,64,64,0.1,3.1622776601683795,3,0.73,0.46797435827190365,0.31473214285714285,0.013853095581318609,0.4824810095041087,0.13839285714285715,0.016351860006885186,1.0875683388244397,0.0434716796875,0.2427880859375,100.6103515625,101.58251953125,0,370818,1
100.0,0.015,0.01,64,64,0.1,3.1622776601683795,3,0.73,0.7019615374078554,0.24032738095238093,0.014126955762379483,0.7052498528418005,0.03571428571428571,0.006873217490352687,1.8027430907391908,0.06723876953125,0.37762207031250006,100.427490234375,102.73388671875,0,375818,1
100.0,0.02,0.01,64,64,0.1,3.1622776601683795,3,0.73,0.9359487165438073,0.1488095238095238,0.013010790722821429,1.0415528300904857,0.010416666666666666,0.003431490933334255,2.3109913382574203,0.09721923828125001,0.47302490234375,100.469970703125,103.482666015625,0,380818,1
100.0,0.025,0.01,64,64,0.1,3.1622776601683795,3,0.73,1.1699358956797592,0.10342261904761904,0.008908372686745986,1.2622878193344098,0.0,0.0,7.0344869100478356,0.121474609375,0.571533203125,100.3359375,104.95361328125,0,385818,1
200.0,0.0,0.01,64,48,0.07071067811865475,3.760603093086394,4,0.7446446609406726,0.0,0.515625,0.02197923494157659,-0.039176085503097625,0.5442708333333334,0.034361817131533794,-0.11119926642625716,-0.0029785156250000003,-0.013001302083333333,100.04329427083333,101.384765625,0,460818,1
200.0,0.005,0.01,64,48,0.07071067811865475,3.760603093086394,4,0.7446446609406726,0.3245129548494196,0.3528645833333333,0.018279557694801662,0.3775981130435732,0.2109375,0.02245657069985348,0.8031725655979178,0.037421875,0.17125325520833332,100.318359375,100.91959635416667,0,465818,1
200.0,0.01,0.01,64,48,0.07071067811865475,3.760603093086394,4,0.7446446609406726,0.6490259096988392,0.2981770833333333,0.02242683380382508,0.5296506547303417,0.057291666666666664,0.012320482510949011,1.5779228566327848,0.05799804687500001,0.3452571614583333,100.25618489583333,101.90852864583333,0,470818,1
200.0,0.015,0.01,64,48,0.07071067811865475,3.760603093086394,4,0.7446446609406726,0.9735388645482588,0.15625,0.015118107713965524,1.009990169249582,0.0013020833333333333,0.0013020833333333333,3.010967567059366,0.09522460937499999,0.4882291666666667,100.73470052083333,103.326171875,0,475818,1
